 Number, Square
           1 ,    1.00000000    
           2 ,    4.00000000    
           3 ,    9.00000000    
           4 ,    16.0000000    
           5 ,    25.0000000    
           6 ,    36.0000000    
           7 ,    49.0000000    
           8 ,    64.0000000    
           9 ,    81.0000000    
          10 ,    100.000000    
          11 ,    121.000000    
          12 ,    144.000000    
          13 ,    169.000000    
          14 ,    196.000000    
          15 ,    225.000000    
          16 ,    256.000000    
          17 ,    289.000000    
          18 ,    324.000000    
          19 ,    361.000000    
          20 ,    400.000000    
          21 ,    441.000000    
          22 ,    484.000000    
          23 ,    529.000000    
          24 ,    576.000000    
          25 ,    625.000000    
